"Series Description","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis"
"Unit:","Percent:_Per_Year"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/H15/RIFLGFCY20_N.M"
"Time Period","RIFLGFCY20_N.M"
1953-04,3.08
1953-05,3.18
1953-06,3.21
1953-07,3.12
1953-08,3.10
1953-09,3.07
1953-10,2.95
1953-11,2.95
1953-12,2.89
1954-01,2.80
1954-02,2.72
1954-03,2.61
1954-04,2.60
1954-05,2.66
1954-06,2.64
1954-07,2.57
1954-08,2.58
1954-09,2.60
1954-10,2.61
1954-11,2.65
1954-12,2.67
1955-01,2.75
1955-02,2.83
1955-03,2.84
1955-04,2.85
1955-05,2.87
1955-06,2.86
1955-07,2.94
1955-08,3.01
1955-09,3.00
1955-10,2.93
1955-11,2.93
1955-12,2.98
1956-01,2.94
1956-02,2.91
1956-03,2.99
1956-04,3.14
1956-05,3.06
1956-06,3.00
1956-07,3.08
1956-08,3.22
1956-09,3.28
1956-10,3.26
1956-11,3.37
1956-12,3.45
1957-01,3.41
1957-02,3.30
1957-03,3.32
1957-04,3.40
1957-05,3.49
1957-06,3.65
1957-07,3.72
1957-08,3.75
1957-09,3.73
1957-10,3.76
1957-11,3.61
1957-12,3.38
1958-01,3.27
1958-02,3.31
1958-03,3.29
1958-04,3.17
1958-05,3.17
1958-06,3.23
1958-07,3.39
1958-08,3.65
1958-09,3.80
1958-10,3.81
1958-11,3.76
1958-12,3.86
1959-01,3.95
1959-02,3.96
1959-03,3.99
1959-04,4.06
1959-05,4.13
1959-06,4.14
1959-07,4.16
1959-08,4.15
1959-09,4.29
1959-10,4.19
1959-11,4.20
1959-12,4.33
1960-01,4.42
1960-02,4.28
1960-03,4.14
1960-04,4.23
1960-05,4.20
1960-06,4.04
1960-07,3.91
1960-08,3.84
1960-09,3.86
1960-10,3.92
1960-11,3.96
1960-12,3.91
1961-01,3.90
1961-02,3.84
1961-03,3.81
1961-04,3.81
1961-05,3.74
1961-06,3.89
1961-07,3.93
1961-08,4.04
1961-09,4.04
1961-10,4.01
1961-11,4.00
1961-12,4.07
1962-01,4.10
1962-02,4.12
1962-03,4.04
1962-04,3.93
1962-05,3.92
1962-06,3.96
1962-07,4.05
1962-08,4.01
1962-09,4.00
1962-10,3.94
1962-11,3.93
1962-12,3.92
1963-01,3.93
1963-02,3.97
1963-03,3.98
1963-04,4.03
1963-05,4.02
1963-06,4.02
1963-07,4.06
1963-08,4.03
1963-09,4.09
1963-10,4.12
1963-11,4.16
1963-12,4.19
1964-01,4.19
1964-02,4.17
1964-03,4.22
1964-04,4.24
1964-05,4.20
1964-06,4.17
1964-07,4.16
1964-08,4.18
1964-09,4.20
1964-10,4.20
1964-11,4.17
1964-12,4.18
1965-01,4.19
1965-02,4.21
1965-03,4.20
1965-04,4.20
1965-05,4.21
1965-06,4.21
1965-07,4.21
1965-08,4.25
1965-09,4.30
1965-10,4.32
1965-11,4.40
1965-12,4.50
1966-01,4.52
1966-02,4.71
1966-03,4.72
1966-04,4.65
1966-05,4.69
1966-06,4.73
1966-07,4.84
1966-08,4.95
1966-09,4.94
1966-10,4.83
1966-11,4.87
1966-12,4.76
1967-01,4.51
1967-02,4.61
1967-03,4.56
1967-04,4.64
1967-05,4.90
1967-06,4.99
1967-07,5.01
1967-08,5.12
1967-09,5.16
1967-10,5.36
1967-11,5.66
1967-12,5.59
1968-01,5.39
1968-02,5.38
1968-03,5.59
1968-04,5.46
1968-05,5.55
1968-06,5.40
1968-07,5.29
1968-08,5.23
1968-09,5.28
1968-10,5.44
1968-11,5.56
1968-12,5.88
1969-01,5.99
1969-02,6.11
1969-03,6.22
1969-04,6.03
1969-05,6.11
1969-06,6.28
1969-07,6.27
1969-08,6.22
1969-09,6.55
1969-10,6.49
1969-11,6.74
1969-12,6.91
1970-01,6.92
1970-02,6.67
1970-03,6.72
1970-04,6.85
1970-05,7.24
1970-06,7.34
1970-07,6.92
1970-08,7.07
1970-09,6.88
1970-10,6.88
1970-11,6.58
1970-12,6.28
1971-01,6.18
1971-02,6.14
1971-03,5.94
1971-04,6.00
1971-05,6.32
1971-06,6.38
1971-07,6.38
1971-08,6.27
1971-09,6.05
1971-10,5.92
1971-11,5.86
1971-12,6.00
1972-01,6.01
1972-02,6.06
1972-03,6.06
1972-04,6.16
1972-05,6.07
